,n_polymers,mean_std,std_over_polymers,mean_max_dev,mean_pred,target_train_std,std_pct_of_train_std,mean_std_graph_only,std_pct_graph_only
tg,500.0,13.58593091364067,4.18613649908236,49.05757739919846,150.23768749255117,109.0836109452179,12.454603213001047,0.2510009045265613,0.23009955606678134
egc,500.0,0.10017745742042444,0.05555541653704592,0.36429661849787875,4.474401053229862,1.5681677957015319,6.388184841891189,0.0011022170768578388,0.07028693484709356
egb,337.0,0.12569747647669785,0.06375975204131633,0.4232587155474117,4.320294236654576,1.978619562525776,6.3527865011220594,6.485470300305886e-07,3.2777752849198355e-05
ei,222.0,0.08910178444368724,0.06408765043238702,0.30458274147111586,6.311462762052612,1.0471008370234036,8.509379545238177,2.355201656969942e-06,0.0002249259645007142
eea,221.0,0.15588367724439975,0.08000953791981297,0.5264688339117499,2.2036874850935146,1.1071589386203444,14.079611499921581,4.954477959117307e-16,4.474947350640725e-14
nc,229.0,0.01719726950747778,0.006646956247521881,0.06684106743187983,1.9247723354513386,0.23543629367392938,7.304425855129781,3.1839981301675314e-16,1.3523820310292738e-13
eps,229.0,0.07185073553442144,0.03828764421634257,0.28999112758430046,4.512086642809038,1.093990712203769,6.567764674133573,2.9101707706211753e-05,0.002660142118353854
