,ridge,et,lgbm,ensemble,n_train,n_splits,nnls_weights
tg,0.8072999944715292,0.8996477779206631,0.9026554074658384,0.9093099001839591,4143,5,"[0.1439284900915248, 0.40305779116760837, 0.4530137187408667]"
egc,0.7410901010962554,0.8805177533325309,0.8929929819338429,0.8954765215376106,2028,5,"[0.06532814618864222, 0.2376663188544431, 0.6970055349569148]"
egb,0.7746835199563797,0.8609591531894989,0.8488944068349229,0.8707211328231502,337,3,"[0.17935024579601405, 0.5103098737248593, 0.3103398804791267]"
ei,0.6865414936943577,0.7830132082026064,0.7604642336610837,0.8003075658390565,222,3,"[0.15844612641356484, 0.5212424193397859, 0.3203114542466493]"
eea,0.7633194637323086,0.8083314038858083,0.8076210442641923,0.8532895159241587,221,3,"[0.36387627574998177, 0.4007613623692367, 0.2353623618807814]"
nc,0.7292958156506318,0.7728987627383657,0.7544873656469397,0.8031366152803112,229,3,"[0.35950306447310465, 0.2323612808509222, 0.4081356546759732]"
eps,0.6258843302756694,0.7114017765481111,0.7071771579883128,0.7436870314592199,229,3,"[0.2339880500165986, 0.40411399196525316, 0.3618979580181482]"
