target,viol_rate_0_5sigma,viol_rate_1sigma,viol_rate_2sigma
eea,0.10228399051928463,0.01478129713423831,0.0
egb,0.017359050445103857,0.0,0.0
egc,0.014199999999999999,0.0006,0.0
ei,0.04842342342342342,0.01006006006006006,0.0
eps,0.06011644832605532,0.0037845705967976713,0.0
nc,0.05109170305676856,0.0013100436681222707,0.0
tg,0.0836,0.005266666666666667,0.0
