,n_polymer_pairs,mean_cosine_similarity
tg,1000.0,0.9468081499525189
egc,1000.0,0.9868210463949538
egb,1000.0,0.9960816430391534
ei,1000.0,0.9884040517428601
eea,998.0,0.9666526350391379
nc,1000.0,0.9964804095530861
eps,996.0,0.9766537911101391
