target_type,baseline_r2,affine_r2,delta_r2,positive_folds,retained,full_slope,full_intercept
tg,0.9092336770224978,0.9093426709972917,0.00010899397479391393,4,False,1.0192545547513883,-2.4403316050441504
egc,0.8958360497132186,0.8958303713772178,-5.678336000847217e-06,2,False,1.011041429756868,-0.0656546289905835
egb,0.8707211328231504,0.869160861614047,-0.0015602712091034032,0,False,1.017977868163817,-0.09528504707735852
ei,0.8006149660455064,0.8028816417079401,0.0022666756624336593,4,False,1.0717116492815733,-0.4739872749489047
eea,0.8529553680345101,0.8530892960504128,0.00013392801590272896,3,False,1.0617712240575659,-0.14993656200459604
nc,0.8033213958807353,0.7966190915309371,-0.006702304349798127,1,False,1.0231041481644763,-0.04993164712520648
eps,0.7428405856058193,0.7431674681094771,0.00032688250365775495,3,False,1.0611941836483239,-0.277014572282658
