target,n,folds,r2,mae
tg,4143.0,5.0,0.8927885537071379,24.01279170890659
egc,2028.0,5.0,0.8866706824839703,0.3455940616370809
egb,337.0,3.0,0.8646114942306147,0.5010379109792283
ei,222.0,3.0,0.7716651580495919,0.36991273423423443
eea,221.0,3.0,0.809653355158439,0.35242878733031663
nc,229.0,3.0,0.7941398365677721,0.0719869213973799
eps,229.0,3.0,0.6948783364557554,0.40220393013100403
mean,7409.0,,0.8163439166647544,
