target,n,folds,r2,mae
tg,300.0,3.0,0.7462684167932334,42.282044
egc,300.0,3.0,0.7434661801134279,0.5148985533333333
egb,300.0,3.0,0.8700676031042682,0.5024082233333333
ei,222.0,3.0,0.7717179278157411,0.3685121351351353
eea,221.0,3.0,0.8092937204139178,0.3522328099547511
nc,229.0,3.0,0.7938189774856181,0.07200450655021835
eps,229.0,3.0,0.6978225797129743,0.4011165938864624
mean,1801.0,,0.776065057919883,
