category,n,r2,mae,rmse
verified,1641,0.9036798041291353,22.627252026263047,34.01122711632936
external_verified,983,0.8855856924066864,23.186356216559027,37.321710558488085
proxy,108,0.8304419691477836,26.1127551355142,36.321957325107334
unresolved,0,,,
