scenario,mean,gain,tg,egc,egb,ei,eea,nc,eps
V57 current baseline,0.9022892857142858,0.0,0.895346,0.911096,0.926818,0.871121,0.91833,0.908647,0.884667
S1 all targets +0.033 (uniform),0.9352892857142857,0.03299999999999992,0.928346,0.944096,0.9598180000000001,0.9041210000000001,0.95133,0.941647,0.917667
"S2 realistic 7-target push (tg .920, egc .922, egb .940, ei .905, eea .928, nc .920, eps .910)",0.9207142857142857,0.018424999999999914,0.92,0.922,0.94,0.905,0.928,0.92,0.91
"S3 'Tg-only hack' - tg to 0.95, nothing else",0.910097,0.007807714285714251,0.95,0.911096,0.926818,0.871121,0.91833,0.908647,0.884667
S4 perfect Tg only (R2=1.0),0.9172398571428573,0.01495057142857148,1.0,0.911096,0.926818,0.871121,0.91833,0.908647,0.884667
"S5 weak-target push only (ei .905, eps .915, others unchanged)",0.9114624285714286,0.009173142857142769,0.895346,0.911096,0.926818,0.905,0.91833,0.908647,0.915
"S6 big+weak (tg .915, ei .905, eps .910, nc .918, eea .925, egc .918, egb .935)",0.918,0.015710714285714245,0.915,0.918,0.935,0.905,0.925,0.918,0.91
"S7 aggressive (tg .925, egc .925, egb .945, ei .915, eea .935, nc .925, eps .920)",0.927142857142857,0.024853571428571253,0.925,0.925,0.945,0.915,0.935,0.925,0.92
"S8 ceiling-flirt (tg .93, egc .93, egb .95, ei .92, eea .94, nc .93, eps .925)",0.932142857142857,0.029853571428571257,0.93,0.93,0.95,0.92,0.94,0.93,0.925
