target,n,r2,sse,tss,rmse,mae,sse_share,tss_share
tg,2732,0.8953462610294881,3409962.3610344315,32583282.686108813,35.32925221218313,22.966210208861902,0.9998815502897481,0.9998591866312978
egc,1352,0.9110956559040295,290.84872680437974,3271.4793609006806,0.46381547832325903,0.3170367016481698,8.528372019002065e-05,0.00010038947654177771
egb,224,0.9268179028903438,60.11628480148711,821.4616303138839,0.5180504525962798,0.3745232540194519,1.762751540364114e-05,2.520758775126802e-05
ei,148,0.8711210688639335,15.077811301736922,116.9920573427027,0.3191819283576599,0.22361485287208768,4.421170600482406e-06,3.5900490574839136e-06
eea,147,0.9183296801544218,13.489834846643497,165.17426247564623,0.30293164904111963,0.22592856970443181,3.955538375949356e-06,5.068580883096004e-06
nc,153,0.9086473791205427,0.8472214562052247,9.274188830588235,0.07441367574979911,0.05108819156114512,2.4842535294502167e-07,2.8459019891112186e-07
eps,153,0.8846674616632076,23.577023002365365,204.4264640522876,0.39255342255283365,0.2727686987066475,6.913340328973824e-06,6.273084269694321e-06
