,G0_random,G1_canonical_group,G2_scaffold,G3_low_similarity
tg,0.8865257035420802,0.8944843958643733,0.8447990645133339,0.6634570324671571
egc,0.8478709440331367,0.8628292402628361,0.7801342100976698,0.6995325478624619
egb,0.8542794225172456,0.8650171670260617,0.643105535055182,0.7265604662958514
ei,0.7744560871783797,0.7838830036242859,0.3991497880890552,0.6428443893207472
eea,0.8108555884045071,0.8173701266870647,0.6999046072219853,0.7156366247236039
nc,0.7886604377798261,0.7841414412379633,0.5878054442030938,0.7776152247401024
eps,0.6793055816393884,0.6845457063049404,0.5116818689393033,0.48181820768269057
