iter	MAE
0	0.1667088092
1	0.1633394555
2	0.1596444307
3	0.1560062596
4	0.1521353277
5	0.1485234783
6	0.1453166926
7	0.1422774391
8	0.1387172657
9	0.1364873981
10	0.1340165805
11	0.1313179467
12	0.1285993826
13	0.1255355521
14	0.1234360164
15	0.1211208692
16	0.1188165452
17	0.1169882383
18	0.1150351825
19	0.1126414391
20	0.1103975853
21	0.1083110995
22	0.1068746744
23	0.1050626184
24	0.1029527627
25	0.1012455036
26	0.1001901831
27	0.09847831091
28	0.09645487364
29	0.09491564015
30	0.09355997982
31	0.0921082565
32	0.09056312041
33	0.08893900784
34	0.08775193517
35	0.08668405359
36	0.0855712109
37	0.08468474453
38	0.08306480823
39	0.08218048244
40	0.08115884012
41	0.07966441657
42	0.07884135314
43	0.0775096729
44	0.07600465833
45	0.0753733312
46	0.07427163381
47	0.07266501253
48	0.07137877552
49	0.07050613979
50	0.06933093419
51	0.06869313228
52	0.06824871759
53	0.06711171537
54	0.06653063041
55	0.06603802223
56	0.06546371524
57	0.06472433755
58	0.0639190106
59	0.06341428962
60	0.06314732245
61	0.06216157526
62	0.06175721471
63	0.06131248304
64	0.06096519977
65	0.06036531299
66	0.05981152451
67	0.05879379968
68	0.05848761901
69	0.05752686386
70	0.05696806759
71	0.05642807259
72	0.05590483624
73	0.0552089961
74	0.05494996797
75	0.05442934952
76	0.05369248613
77	0.05318329407
78	0.05271790191
79	0.05245808567
80	0.05220818392
81	0.05184363768
82	0.05156761325
83	0.05115871144
84	0.05029093803
85	0.04969649587
86	0.04906772609
87	0.04890918885
88	0.04858040036
89	0.04805529186
90	0.04768362834
91	0.04735805228
92	0.04718980066
93	0.04674077789
94	0.04616397181
95	0.04589229298
96	0.04578697868
97	0.04558588543
98	0.04481536043
99	0.04451125516
100	0.04419499293
101	0.04409464001
102	0.04338106952
103	0.04331641087
104	0.04303609297
105	0.04295220675
106	0.04263267651
107	0.04237904974
108	0.04190181197
109	0.04180463571
110	0.04158414602
111	0.04127983553
112	0.04112846869
113	0.04091244112
114	0.04036157113
115	0.0398888874
116	0.03950763775
117	0.03936369057
118	0.03909819626
119	0.03850249567
