index,target,min,max,std,range
0,eea,0.43720388958335676,0.43720388958335676,0.0,0.0
1,egb,7.543088097608664,7.543088097608664,0.0,0.0
2,egc,6.044051418707866,6.044051418707866,0.0,0.0
3,ei,6.670360895990808,6.670360895990808,0.0,0.0
4,eps,3.202406221126645,3.202406221126645,0.0,0.0
5,nc,1.6492338659403405,1.6492338659403405,0.0,0.0
6,tg,-57.28729484957768,-57.28729484957768,0.0,0.0
