target,pearson_rho,p_value,n
tg,0.3909013409152411,2.4633327865387928e-151,4143
egc,0.47590219024378283,3.893603178875877e-115,2028
egb,0.3008242545262927,1.7721714493691796e-08,337
ei,0.21850507135821992,0.0010493069357620452,222
eea,0.2874622150090143,1.417199842930396e-05,221
nc,0.39637715769225684,4.9024315202898e-10,229
eps,0.33408931353598414,2.2480861826991632e-07,229
