polymer,slope_vs_inv_n,intercept_Tg_inf,flory_fox_r2
*OC(=O)CCCCCCCCC(=O)OCC*,-0.23125405817435465,-39.42219277956936,0.004081247644211694
*Oc1ccc(cc1)C(=O)OCCOCCOCCOCCOC(=O)c1ccc(cc1)OC(=O)c1ccc(cc1,-34.21049414342893,69.78964200636342,0.9493972578208216
