,ridge,et,lgbm,ensemble,n_train,n_splits,nnls_weights
tg,0.8065149597617575,0.9002735564493319,0.9021838031432448,0.9092336770224978,4143,5,"[0.1401311575958233, 0.42929421870120166, 0.4305746237029751]"
egc,0.7468730387198668,0.8798250972949782,0.893502768419892,0.8958360497132186,2028,5,"[0.06908989526065823, 0.21798814555109797, 0.7129219591882437]"
egb,0.7746835199563793,0.860959153189499,0.8488944068349229,0.8707211328231504,337,3,"[0.1793502457960162, 0.5103098737248609, 0.310339880479123]"
ei,0.6865414936943572,0.7830132082026064,0.7607197160697537,0.8006149660455064,222,3,"[0.15278180182180448, 0.5235451885811365, 0.323673009597059]"
eea,0.763319463732307,0.8083314038858083,0.8062381267428204,0.8529553680345101,221,3,"[0.3663468609945105, 0.4102523284655985, 0.22340081053989086]"
nc,0.7292958156506344,0.7728987627383657,0.754370506691763,0.8033213958807353,229,3,"[0.3633472717388593, 0.22424128213217448, 0.4124114461289663]"
eps,0.6258843302756673,0.7114017765481111,0.7040737632586904,0.7428405856058193,229,3,"[0.23744446234972857, 0.41700197705873887, 0.3455535605915326]"
