,n_polymer_pairs,mean_cosine_similarity
tg,1000.0,0.946730734733785
egc,1000.0,0.98725261591537
egb,1000.0,0.9968479578205477
ei,1000.0,0.991009791447283
eea,998.0,0.9640549947114424
nc,1000.0,0.9965881375154427
eps,996.0,0.9756763246005578
