target,feature,mean_abs_shap
tg,NumHeterocycles,30.585243336654635
tg,morgan_80,21.01452518598037
tg,VSA_EState2,12.346806350098658
tg,morgan_356,10.836866740421105
tg,NumAromaticHeterocycles,8.032128337136715
tg,fr_amidine,6.353164242944561
tg,fr_allylic_oxid,5.0928115707673
tg,EState_VSA6,3.8685103920902875
tg,morgan_891,3.1346113248714382
tg,morgan_695,3.0647594176806066
tg,ngram_)O,2.690613167143734
tg,Chi3n,2.5800696394302203
tg,SMR_VSA2,2.512084465307864
tg,ngram_CO,2.364824951094585
tg,EState_VSA2,2.1525146329252713
tg,VSA_EState9,2.0156534627406932
tg,SlogP_VSA11,1.9650846360412622
tg,ngram_c(,1.9115300612372024
tg,EState_VSA5,1.8319624957067577
tg,fr_Nhpyrrole,1.8318562549905806
egc,morgan_356,0.4257229012951214
egc,VSA_EState2,0.40224251080225754
egc,PEOE_VSA3,0.230630495939412
egc,SlogP_VSA1,0.10865895740753774
egc,SlogP_VSA11,0.10261476279139133
egc,SMR_VSA7,0.06790490371465868
egc,morgan_664,0.049250330862006066
egc,PEOE_VSA2,0.040551419182961436
egc,morgan_875,0.03388728800543908
egc,PEOE_VSA5,0.028994431997389724
egc,fr_quatN,0.026078376675905866
egc,EState_VSA9,0.025349803417882375
egc,PEOE_VSA9,0.024837781477722587
egc,SlogP_VSA2,0.024578580521756387
egc,morgan_4,0.02415719665422835
egc,PEOE_VSA7,0.0233932630587855
egc,PEOE_VSA8,0.020526254883358366
egc,morgan_247,0.020482670104668654
egc,morgan_587,0.020481301696023566
egc,EState_VSA4,0.020415786153801324
egb,VSA_EState1,1.0011466353289191
egb,PEOE_VSA14,0.5203594889802726
egb,EState_VSA11,0.22474424512890723
egb,PEOE_VSA7,0.09489216096556412
egb,EState_VSA10,0.08765904792613331
egb,SlogP_VSA1,0.05155171480623159
egb,SMR_VSA5,0.04787439857688721
egb,EState_VSA1,0.04700332968616296
egb,EState_VSA3,0.041122967783170754
egb,FpDensityMorgan3,0.041102986956217724
egb,HeavyAtomCount,0.03853339627652308
egb,TPSA,0.03359237121625841
egb,morgan_669,0.03096735972403653
egb,SlogP_VSA6,0.028595571820825894
egb,EState_VSA2,0.026700279586148772
egb,EState_VSA5,0.02409779173951308
egb,SlogP_VSA11,0.022525068528552655
egb,morgan_116,0.022391607551037043
egb,NumHeterocycles,0.022190011602549874
egb,morgan_678,0.02121419900894959
ei,FpDensityMorgan1,0.35466530234829935
ei,SPS,0.14954400340079763
ei,PEOE_VSA11,0.103347139848746
ei,SlogP_VSA8,0.09887265142806652
ei,SlogP_VSA4,0.051794714700413795
ei,fr_NH2,0.04901212384987209
ei,MaxAbsEStateIndex,0.046626005397005246
ei,SlogP_VSA2,0.04483943095497733
ei,MinAbsEStateIndex,0.0435915742796229
ei,MinEStateIndex,0.03188167481752229
ei,SlogP_VSA3,0.031139725599053987
ei,SlogP_VSA10,0.030876904968088106
