target,viol_rate_0_5sigma,viol_rate_1sigma,viol_rate_2sigma
eea,0.09900344753285929,0.015535444947209652,0.0
egb,0.015578635014836795,0.0,0.0
egc,0.014666666666666666,0.0006,0.0
ei,0.046358858858858855,0.009909909909909911,0.0
eps,0.06390101892285298,0.004366812227074236,0.0
nc,0.050655021834061134,0.0020378457059679767,0.0
tg,0.08213333333333334,0.0054,0.0
