target,frac_masked,k,r2_baseline,r2_top_shap,r2_random,drop_top_shap,drop_random
tg,0.01,94,0.9788982586574114,0.39400367160172967,0.9751813800982129,0.5848945870556818,0.0037168785591985554
tg,0.05,470,0.9788982586574114,0.2606513900066577,0.9514038287622512,0.7182468686507537,0.027494429895160266
tg,0.1,941,0.9788982586574114,0.2119887433739871,0.9087228630191861,0.7669095152834243,0.07017539563822528
tg,0.15,1411,0.9788982586574114,0.18740392480590262,0.889275026666126,0.7914943338515088,0.08962323199128541
tg,0.2,1882,0.9788982586574114,0.16588447765808745,0.8224961759718635,0.813013780999324,0.1564020826855479
tg,0.3,2823,0.9788982586574114,0.1525392131595522,0.8122546298322402,0.8263590454978592,0.16664362882517125
tg,0.5,4705,0.9788982586574114,0.08287302222094306,0.5578657871981543,0.8960252364364684,0.42103247145925715
egc,0.01,94,0.9702196601063668,-0.2876653247740897,0.9684150244129972,1.2578849848804565,0.0018046356933696384
egc,0.05,470,0.9702196601063668,-1.2970949293527503,0.9353629360586556,2.267314589459117,0.03485672404771123
egc,0.1,940,0.9702196601063668,-1.3273145852102801,0.7698897794198991,2.2975342453166467,0.20032988068646773
egc,0.15,1411,0.9702196601063668,-1.358513587823725,0.6746320442438364,2.328733247930092,0.29558761586253046
egc,0.2,1881,0.9702196601063668,-1.3687419370355238,0.4975344151196426,2.338961597141891,0.47268524498672426
egc,0.3,2822,0.9702196601063668,-1.3786145633682811,0.3791525261442674,2.3488342234746478,0.5910671339620994
egc,0.5,4703,0.9702196601063668,-1.408065551473093,-0.34829247771772437,2.3782852115794597,1.3185121378240912
egb,0.01,44,0.9704528184107956,0.5102078345448113,0.9677561964075793,0.4602449838659842,0.002696622003216298
egb,0.05,221,0.9704528184107956,0.321907558738906,0.9657507275650155,0.6485452596718896,0.004702090845780105
egb,0.1,443,0.9704528184107956,0.28881294856236095,0.9367855870097717,0.6816398698484346,0.0336672314010239
egb,0.15,664,0.9704528184107956,0.28149461821874244,0.9382014482891059,0.6889582001920531,0.03225137012168966
egb,0.2,886,0.9704528184107956,0.26767483804669323,0.7145640328349615,0.7027779803641023,0.25588878557583405
egb,0.3,1329,0.9704528184107956,0.2538881464361278,0.8245973930816637,0.7165646719746678,0.14585542532913187
egb,0.5,2215,0.9704528184107956,0.1353961626609982,0.6394863932286258,0.8350566557497974,0.3309664251821698
ei,0.01,27,0.9163860415238163,0.49278858301446393,0.9116638806828685,0.4235974585093524,0.004722160840947787
ei,0.05,135,0.9163860415238163,0.35997479583875314,0.897767382276675,0.5564112456850632,0.018618659247141345
ei,0.1,271,0.9163860415238163,0.2909078491089915,0.8826623172194179,0.6254781924148248,0.033723724304398406
ei,0.15,407,0.9163860415238163,0.2845887575859053,0.8342740759457363,0.631797283937911,0.08211196557807998
ei,0.2,542,0.9163860415238163,0.27126196571769345,0.7888671878308131,0.6451240758061229,0.1275188536930032
ei,0.3,814,0.9163860415238163,0.21833607548654632,0.7814287170758999,0.69804996603727,0.13495732444791642
ei,0.5,1357,0.9163860415238163,0.1903856110471538,0.6063240971534001,0.7260004304766625,0.31006194437041623
eea,0.01,26,0.9590553227475315,0.7372578728161523,0.956261243500896,0.22179744993137918,0.002794079246635439
eea,0.05,132,0.9590553227475315,0.5889454154445146,0.9384011622247407,0.37010990730301685,0.020654160522790788
eea,0.1,265,0.9590553227475315,0.5124680920547297,0.9201670630769861,0.4465872306928018,0.03888825967054532
eea,0.15,398,0.9590553227475315,0.5005334101420351,0.9101964547319854,0.45852191260549635,0.048858868015546064
eea,0.2,531,0.9590553227475315,0.4758512969743045,0.840578471944543,0.48320402577322696,0.11847685080298842
eea,0.3,797,0.9590553227475315,0.3806434763245474,0.7956184100932532,0.578411846422984,0.1634369126542783
eea,0.5,1328,0.9590553227475315,0.34678942864132967,0.5208177034181374,0.6122658941062018,0.4382376193293941
nc,0.01,27,0.9466235499418879,0.4976371297408795,0.9449954896010171,0.44898642020100843,0.0016280603408708183
nc,0.05,139,0.9466235499418879,0.4124968086645374,0.9250457427500376,0.5341267412773505,0.021577807191850318
nc,0.1,279,0.9466235499418879,0.3771600421347596,0.935226753069407,0.5694635078071283,0.011396796872480963
nc,0.15,418,0.9466235499418879,0.36886604742087825,0.8465389804711142,0.5777575025210097,0.10008456947077371
nc,0.2,558,0.9466235499418879,0.3505382252884247,0.8057340768144376,0.5960853246534632,0.14088947312745026
nc,0.3,837,0.9466235499418879,0.29788199320224307,0.8496889188214695,0.6487415567396448,0.09693463112041845
nc,0.5,1396,0.9466235499418879,0.2610773927793,0.5707310955639912,0.6855461571625879,0.37589245437789676
eps,0.01,27,0.9093993813385408,0.5322632046492604,0.9081100082113156,0.37713617668928046,0.001289373127225213
eps,0.05,139,0.9093993813385408,0.33074230538065774,0.8806922101167958,0.5786570759578831,0.028707171221745043
eps,0.1,278,0.9093993813385408,0.30935440339092024,0.8772933244212794,0.6000449779476206,0.03210605691726143
eps,0.15,417,0.9093993813385408,0.3066509113759275,0.8635973963449946,0.6027484699626133,0.04580198499354626
eps,0.2,556,0.9093993813385408,0.293553360819201,0.8007698886957971,0.6158460205193398,0.10862949264274369
eps,0.3,834,0.9093993813385408,0.24933786194280527,0.7593923652176022,0.6600615193957355,0.15000701612093859
eps,0.5,1391,0.9093993813385408,0.20275658997406654,0.6033866004271571,0.7066427913644743,0.30601278091138373
