target,bucket,n,r2,mae
tg,bottom_10,416,-0.829916064964412,24.438890869007285
tg,middle_80,3312,0.8505026418616352,20.653165015406223
tg,top_10,415,-0.42838251903135216,30.40893005920594
egc,bottom_10,203,-1.4716367967978914,0.6138691796917167
egc,middle_80,1622,0.8648175311798079,0.29768469357337757
egc,top_10,203,0.22699003909898585,0.31981264095356643
egb,bottom_10,34,-13.210234625453351,0.8377900363366042
egb,middle_80,269,0.8449086605469116,0.4257683581285794
egb,top_10,34,0.08882658609112526,0.6406521047025447
ei,bottom_10,23,-5.94360255889056,0.585329577911534
ei,middle_80,176,0.6493201139936164,0.29647307441828463
ei,top_10,23,-0.3474263491581344,0.5440633719401212
eea,bottom_10,23,-19.507982324669157,0.413501821374874
eea,middle_80,175,0.7716778766446031,0.291073216445692
eea,top_10,23,-1.132656444710098,0.4313153276783616
nc,bottom_10,23,-8.45657215825889,0.055018204509045925
nc,middle_80,183,0.6534691309701337,0.059012842120529714
nc,top_10,23,-0.8337233351306013,0.16623953815918782
eps,bottom_10,23,-0.3829134211409233,0.16054219219832416
eps,middle_80,183,0.6403607676970222,0.3221316121225578
eps,top_10,23,-1.5989139904026763,0.9992931067225836
