,n_polymers,mean_std,mean_max_dev,target_train_std,std_pct_of_train_std,mean_std_graph_only,std_pct_graph_only
tg,500.0,13.449815876139022,48.53755988637043,109.0836109452179,12.329822747519385,0.23392355100337198,0.21444426800360417
egc,500.0,0.101144011168174,0.3652640236153928,1.5681677957015319,6.449820704481847,0.0006859593149102917,0.04374272426653313
egb,337.0,0.12956711293278497,0.4205588254225735,1.978619562525776,6.548359037115153,9.810966328073233e-07,4.9584905122181224e-05
ei,222.0,0.08904944329544376,0.3024282309097382,1.0471008370234036,8.504380872102523,8.02148947708835e-06,0.0007660665709991276
eea,221.0,0.15627654799978996,0.5349123124762032,1.1071589386203444,14.115096084987552,4.492890342465202e-16,4.0580355590714856e-14
nc,229.0,0.017234369498835857,0.06797325493574533,0.23543629367392938,7.320183829730528,3.155426831468419e-16,1.340246561916477e-13
eps,229.0,0.07347065377557904,0.29687728043465017,1.093990712203769,6.715838896618917,2.692008436403201e-05,0.002460723300822486
