canon,slope_K,tg_infinity,r2_flory_fox,monotone
*CCCCNC(=O)Cc1ccc(C(=O)N*)cc1,-6.384371175845925,105.6881837413954,0.04931625252368721,False
*Oc1ccc(-c2ccc(Oc3ccc(*)cc3)c3ccccc23)c2ccccc12,-16.67345464812518,264.8537643075782,0.5524808037049587,False
*c1ccc(Oc2ccc(C(=O)c3ccc(Oc4ccc(-c5c6c(c(*)c7ccccc57)C(=O)N(c5ccc(Cl)cc5)C6=O)cc4)cc3)cc2)cc1,8.313021222681906,259.4001464881655,0.055553090463357324,False
*C(=O)Nc1ccc(-c2ccc(NC(=O)c3ccc4c(c3)C(=O)N(c3c(C)cc(C)c(N5C(=O)c6ccc(*)cc6C5=O)c3C)C4=O)cc2C(F)(F)F)c(C(F)(F)F)c1,19.99198458704685,269.95162674750196,0.8692820572325144,False
*Oc1ccc(C2(c3ccc(OC(*)=O)cc3)c3ccccc3-c3ccccc32)cc1,-10.424396133994282,273.34665300680354,0.1590059868332725,False
*Oc1ccc(OC(=O)c2cc(OCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc(C(*)=O)c2)cc1,-0.8537028828161568,89.07012620748799,0.0024167479553587334,False
*C(=O)Oc1ccc(C2(c3ccc(OC(=O)c4ccc5c(c4)C(=O)N(c4ccc(-c6ccc(N7C(=O)c8ccc(*)cc8C7=O)cc6C)c(C)c4)C5=O)cc3)CCC(C(C)(C)C)CC2)cc1,44.62062236353907,261.8484968694236,0.9447148387175421,True
*c1ccc(Oc2ccc(C(=O)c3cccc(C(=O)c4ccc(Oc5ccc(-c6c7c(c(*)c8ccccc68)C(=O)N(CCCCCCCCCCCC)C7=O)cc5)cc4)c3)cc2)cc1,-5.245601976355061,123.56898904454528,0.08349347803196894,False
*c1cc(N=Cc2ccc(F)cc2)c(O)c(*)c1C,135.32894583302135,287.67907398576295,0.9703325656282618,False
*c1ccc(Oc2ccc(C(C)(C)c3ccc(Oc4ccc(-c5nnc(*)c6c(-c7ccc(F)cc7)c(-c7ccc(F)cc7)c(-c7ccc(F)cc7)c(-c7ccc(F)cc7)c56)cc4)cc3)cc2)cc1,-23.984124569699823,246.80748031627206,0.48565658040720516,False
*CC(*)(C)C(=O)OCCCCCCOc1ccc(N=Nc2ccc([N+](=O)[O-])cc2)cc1,5.644547640108284,53.95078554544124,0.08218761527302498,False
