target,pearson_rho,p_value,n
tg,0.23695711359869018,5.686314522782898e-54,4143
egc,0.30438101748508417,9.773677245788656e-45,2028
egb,0.2602806711691522,1.2718018242271887e-06,337
ei,0.132828698893162,0.04807577533290518,222
eea,0.27325655129358417,3.824106476148255e-05,221
nc,0.15230068588906592,0.02113401200204804,229
eps,0.1861513653860145,0.004708740090417728,229
