target,morgan_grad_mean,rdkit_desc_grad_mean,char_ngram_grad_mean
tg,0.001649245386943221,0.0015772262122482061,0.0009200407657772303
egc,0.001187291694805026,0.0011109294136986136,0.0006917936261743307
nc,0.0011383768869563937,0.0019659160170704126,0.0013402169570326805
eps,0.0013765849871560931,0.0023347646929323673,0.0015849591000005603
