target,n,oof_r2,input_dim
tg,4143,0.8833681376418924,9411
egc,2028,0.8532056356949964,9407
egb,337,0.7849422127588188,4430
ei,222,0.7256066265946437,2714
eea,221,0.801565145300112,2657
nc,229,0.7589396954993495,2792
eps,229,0.6692466034848025,2782
