route,r2_all,mae_all,r2_low_sim,mae_low_sim,n_low_sim
A_direct,0.625425163067528,0.48343438702248215,0.41204951238805365,0.4887162073094212,21
B_reconstructed,0.6714953025328911,0.43517228694208704,0.5026920439966943,0.45714650575141763,21
C_ensemble,0.6667331446707498,0.44855835973806757,0.4791799660018552,0.47196143527986856,21
