iter	RMSE
0	0.2179338917
1	0.2135741224
2	0.2100210023
3	0.206305175
4	0.2022085112
5	0.1985289068
6	0.1955606446
7	0.1922418225
8	0.1889387417
9	0.1855161047
10	0.1827148688
11	0.1799069351
12	0.1768988653
13	0.1741858064
14	0.1715904329
15	0.168912978
16	0.166604145
17	0.1638163332
18	0.1612315312
19	0.1584439608
20	0.1561869883
21	0.1536945962
22	0.1514731625
23	0.1490807709
24	0.146794404
25	0.1446791528
26	0.1425255776
27	0.1401963307
28	0.1384201641
29	0.1364935103
30	0.1345077871
31	0.1322480348
32	0.1308492062
33	0.1290053358
34	0.1273317304
35	0.1254335832
36	0.1235245466
37	0.1217595326
38	0.1197842933
39	0.1184535818
40	0.116860079
41	0.1152437236
42	0.1135474089
43	0.1118589456
44	0.1104451326
45	0.1089491788
46	0.1076780062
47	0.1062894924
48	0.1049099714
49	0.1035169807
50	0.1023091855
51	0.1010464916
52	0.09976438187
53	0.09860703855
54	0.09761034074
55	0.09665063263
56	0.09552837514
57	0.09438972135
58	0.09352659216
59	0.09270533295
60	0.09172237036
61	0.09092963783
62	0.0898722635
63	0.0890645484
64	0.08814164909
65	0.08720722488
66	0.08618649912
67	0.08517847533
68	0.08452451121
69	0.08382570082
70	0.08295288351
71	0.08217922454
72	0.08142054513
73	0.08065482397
74	0.07987699407
75	0.07927057928
76	0.07851503333
77	0.07767736991
78	0.07701175431
79	0.07648588064
80	0.07591254022
81	0.07509918989
82	0.07455081825
83	0.07394790071
84	0.0732168146
85	0.07263200321
86	0.072017422
87	0.0714396753
88	0.07073273297
89	0.07018049508
90	0.06958553689
91	0.06894648401
92	0.06825873509
93	0.06758354442
94	0.06698503821
95	0.06636812518
96	0.06589021726
97	0.06538776987
98	0.0648834635
99	0.06439858648
100	0.06396416733
101	0.06340655485
102	0.06302999264
103	0.0624437763
104	0.06197214779
105	0.06144525227
106	0.06105512176
107	0.06051288048
108	0.06007980498
109	0.05969928845
110	0.05920119109
111	0.05875097958
112	0.05845836593
113	0.05813588797
114	0.0577208891
115	0.05726925308
116	0.05681991739
117	0.05652180858
118	0.05617202772
119	0.05589974465
120	0.05562348975
121	0.05533199246
122	0.05498367155
123	0.05473613858
124	0.05437229619
125	0.05398322541
126	0.05360625171
127	0.05329490612
128	0.05287988136
129	0.05268588103
130	0.05238216504
131	0.05204405182
132	0.05166740285
133	0.05153218433
134	0.05116131126
135	0.05084904684
136	0.05058644408
137	0.05024345647
138	0.04985363167
139	0.04945740658
140	0.04898997267
141	0.04866228528
142	0.04843867215
143	0.04807535026
144	0.0479138245
145	0.04760640947
146	0.04722092815
147	0.04692811257
148	0.04667289478
149	0.04639568718
150	0.04607233338
151	0.04575736094
152	0.04555888152
153	0.04524498264
154	0.04496121983
155	0.04484375657
156	0.04475763701
157	0.04448418319
158	0.04418449319
159	0.04405464076
160	0.04373209816
161	0.04349169503
162	0.04324541759
163	0.04308899856
164	0.04276725263
165	0.04258716703
166	0.04229256219
167	0.04213227919
168	0.0420575571
169	0.04172481294
170	0.04146731749
171	0.04119953451
172	0.04090902153
173	0.04079830666
174	0.04054244868
175	0.04031456847
176	0.04003175995
177	0.03994614894
178	0.03964887298
179	0.03951978798
180	0.03924551278
181	0.03910474377
182	0.03883946073
183	0.03860066972
184	0.03853105135
185	0.03838480661
186	0.03819953589
187	0.03792389992
188	0.03770103381
189	0.03744237449
190	0.03724601844
191	0.03712228534
192	0.03685638434
193	0.03664734609
194	0.03656718434
195	0.03631355526
196	0.03605572101
197	0.03580931721
198	0.03554175458
199	0.03544875804
200	0.03525451317
201	0.03502204721
202	0.03482025857
203	0.03458761611
204	0.03433219681
205	0.03412989308
206	0.03394220735
207	0.03375588829
208	0.03357196843
209	0.03339051384
210	0.03321771737
211	0.03299804035
212	0.032778273
213	0.03270658592
214	0.03264690305
215	0.03256158117
216	0.03229450637
217	0.03207109971
218	0.03201732984
219	0.03182597918
220	0.03170299339
221	0.03153485161
222	0.0312605712
223	0.0311745962
224	0.03108025989
225	0.03099704452
226	0.03093988586
227	0.03074980511
228	0.03051282791
229	0.03024861288
230	0.03017338307
231	0.02992731617
232	0.02971100512
233	0.02955219215
234	0.02933686298
235	0.02912776034
236	0.02891055996
237	0.02861440098
238	0.02840088822
239	0.02816725216
240	0.02797651793
241	0.02776391967
242	0.02751732177
243	0.02729936647
244	0.02708434135
245	0.02696321984
246	0.02676624761
247	0.02668775459
248	0.02661398823
249	0.02643123042
250	0.02621359135
251	0.02597847774
252	0.02586139685
253	0.02562190834
254	0.02540490106
255	0.02523085076
256	0.02503203126
257	0.02484232928
258	0.02480824963
259	0.02461126994
260	0.02441678395
261	0.02430516345
262	0.02413641281
263	0.0240996687
264	0.02390197323
265	0.02376116562
266	0.02360536639
267	0.02353116143
268	0.02340430346
269	0.02327166121
270	0.0231329221
271	0.02299622233
272	0.02287482844
273	0.02275610339
274	0.02259274039
275	0.02249663683
276	0.02236794596
277	0.02217488969
278	0.02197940349
279	0.02185601678
280	0.02173524339
281	0.02160235149
282	0.02144013749
283	0.02130646318
284	0.02120698018
285	0.02107089973
286	0.0209372788
287	0.02077663096
288	0.02068899581
289	0.02057390573
290	0.02048684291
291	0.02036284521
292	0.02030054369
293	0.02021398206
294	0.02013067495
295	0.02001376228
296	0.01990744662
297	0.01979852144
298	0.0196714831
299	0.01958186975
300	0.01949791792
301	0.01940457451
302	0.01923798098
303	0.01916791042
304	0.01907103729
305	0.01897654561
306	0.01885095538
307	0.01871602498
308	0.01865940429
309	0.01852106123
310	0.01838889838
311	0.01824256349
312	0.01810072796
313	0.01800492768
314	0.01797064103
315	0.01788264827
316	0.01780003904
317	0.01775878519
318	0.01762147134
319	0.01753646912
320	0.01742140645
321	0.01729911259
322	0.01727667902
323	0.01714024597
324	0.01703335429
325	0.01700725758
326	0.01692009719
327	0.0167806293
328	0.0166514872
329	0.01651660223
330	0.01643365435
331	0.01634158055
332	0.01622704167
333	0.01617326696
334	0.01610348187
335	0.01607816637
