iter	RMSE
0	0.2181997838
1	0.2153998811
2	0.2122607125
3	0.2098074091
4	0.2073404641
5	0.2040238224
6	0.2010284852
7	0.1979263849
8	0.1954335259
9	0.1919689696
10	0.1895419579
11	0.1874589347
12	0.1850223162
13	0.1827973308
14	0.1802302358
15	0.1778082926
16	0.1758218648
17	0.1726599187
18	0.1707386273
19	0.1684237966
20	0.1664994938
21	0.1642800215
22	0.1623424752
23	0.1603982103
24	0.1581213948
25	0.1561763889
26	0.1543256875
27	0.1524255565
28	0.150757078
29	0.1490657491
30	0.1475278217
31	0.145474323
32	0.1437530409
33	0.1424455263
34	0.1412237028
35	0.1395132828
36	0.137579039
37	0.1363519505
38	0.1347122467
39	0.133189741
40	0.1316469187
41	0.1304355446
42	0.129249118
43	0.1280307835
44	0.1267659286
45	0.1257594421
46	0.1242214638
47	0.1230714968
48	0.1219137268
49	0.1208773602
50	0.1198364561
51	0.1187270008
52	0.1177253219
53	0.1166664326
54	0.1156663746
55	0.1146474353
56	0.1135144538
57	0.1123691985
58	0.1115504
59	0.1108059787
60	0.1100614478
61	0.1089481829
62	0.107950511
63	0.1064243814
64	0.10547972
65	0.104589392
66	0.1037179544
67	0.1026112747
68	0.1017720648
69	0.1009110259
70	0.1001831471
71	0.09924097694
72	0.09832086691
73	0.09750618746
74	0.09676440489
75	0.09603224809
76	0.09510639872
77	0.09432441159
78	0.09375313568
79	0.0930952381
80	0.09226964408
81	0.09140905091
82	0.0907414948
83	0.0897823322
84	0.08911928599
85	0.0885578213
86	0.08773511592
87	0.08713602574
88	0.08647571753
89	0.08556183935
90	0.08495384849
91	0.08451464594
92	0.08401504996
93	0.0834516743
94	0.08268397837
95	0.08215156663
96	0.08145325697
97	0.08046127898
98	0.07992482437
99	0.07925538497
100	0.07853784982
101	0.0782450488
102	0.07748080576
103	0.07690989522
104	0.07642729429
105	0.07607200483
106	0.07552196984
107	0.0748338949
108	0.07434195975
109	0.07378275569
110	0.07334215237
111	0.07273016198
112	0.07243201717
113	0.07203698639
114	0.07151077744
115	0.07103429486
116	0.07056077301
117	0.07016965386
118	0.06970664876
119	0.06911518985
120	0.06838743687
121	0.06794866051
122	0.06754642565
123	0.06705240407
124	0.06654191173
125	0.06592377653
126	0.06524578857
127	0.064533703
128	0.06396208939
129	0.06368601411
130	0.06331314547
131	0.06280552021
132	0.06234603659
133	0.06205863886
134	0.06154789139
135	0.06118339935
136	0.06082494581
137	0.060506227
138	0.06036996553
139	0.05984025802
140	0.05951206754
141	0.05925890375
142	0.05885770832
143	0.05862571354
144	0.05813838568
145	0.05801765507
146	0.0576106209
147	0.05724121518
148	0.05687117555
149	0.05650338805
150	0.05637981168
151	0.05607463492
152	0.05564642009
153	0.05530189608
154	0.05489200471
155	0.05448518632
156	0.05401092349
157	0.05367431728
158	0.05356396012
159	0.05321645888
160	0.0530931821
161	0.05270780539
162	0.05227477412
163	0.05215698875
164	0.05174713927
165	0.05156105822
166	0.05126294555
167	0.05100219484
168	0.05079762666
169	0.0506728191
170	0.05023842015
171	0.04996589996
172	0.04958229931
173	0.04916537947
174	0.04877567682
175	0.04836276634
176	0.0482699149
177	0.04785638513
178	0.04738061213
179	0.04727804217
180	0.04690445788
181	0.04676159711
182	0.0463024545
183	0.04596975803
184	0.04583390925
185	0.04548001033
186	0.04530208616
187	0.04492371455
188	0.04480851972
189	0.04455057254
190	0.04415226358
191	0.04404946572
192	0.04369485901
193	0.04333344911
194	0.04297926291
195	0.04265676114
196	0.04243029119
197	0.04197800345
198	0.04187185434
199	0.04155705431
200	0.04145880656
201	0.04102037412
202	0.04089728577
203	0.04049339624
204	0.04032797415
205	0.03988176021
206	0.03958581598
207	0.03919217235
208	0.03905222543
209	0.03858786739
210	0.03826554218
211	0.03789996133
212	0.03756888123
213	0.03746549316
214	0.03711295984
215	0.03673609859
216	0.03645532769
217	0.03615788759
218	0.03590345855
219	0.03561532768
220	0.03533275251
221	0.03498593446
222	0.03471906981
223	0.03443781581
224	0.03413868363
225	0.03382805626
226	0.03349827129
227	0.03324674368
228	0.03299178056
229	0.03263835137
230	0.03227216705
231	0.03200567774
232	0.03171479304
233	0.03159684592
234	0.03117660436
235	0.03086729639
236	0.03054790008
237	0.03025058897
238	0.03013098752
239	0.02990357425
240	0.02959936641
241	0.02936796164
242	0.02903378264
243	0.02880734204
244	0.02874578872
245	0.0284801747
246	0.02823204852
247	0.02803736591
248	0.02773744855
249	0.02752049758
250	0.02730286766
251	0.02722600315
252	0.02698842518
253	0.02678148916
254	0.02658067053
255	0.02630121455
256	0.02610509019
257	0.02589406567
258	0.02567296398
259	0.02543757002
260	0.02522194176
261	0.0250625503
262	0.02495114762
263	0.02471182794
264	0.02458052443
265	0.02432756263
266	0.02411306724
267	0.02406458742
268	0.02382000565
269	0.02372589838
270	0.02355760306
271	0.02342067422
272	0.02322818738
273	0.02299722943
274	0.02287839695
275	0.02268740239
276	0.02259474089
277	0.02247193475
278	0.02229323795
279	0.02219524432
280	0.02214753994
281	0.02203947227
282	0.02187123134
283	0.02182726768
284	0.02166107802
285	0.02154937129
286	0.02144284167
287	0.02123640627
288	0.02104978928
289	0.02086027617
290	0.02073988117
291	0.02056275022
292	0.0205293835
293	0.02035164855
294	0.02030975016
295	0.02027907668
296	0.02023933096
297	0.02008844542
298	0.02004743361
299	0.01998170159
300	0.01995230213
301	0.01983141949
302	0.01966599352
303	0.01952317052
304	0.0193967012
305	0.01930900836
306	0.0192720057
307	0.01911948642
308	0.01909203608
309	0.01894486692
310	0.01878237109
311	0.01874977061
312	0.01862230136
313	0.01856660204
314	0.01841674553
315	0.01835100628
316	0.01819291906
317	0.01816661797
318	0.01803829856
319	0.01800956367
320	0.01782275368
321	0.01763780804
322	0.01760758934
323	0.01751270243
324	0.01736790233
325	0.01733588255
326	0.01722608864
327	0.01720231641
328	0.01717143298
329	0.01702075679
330	0.01699074655
331	0.01684653105
332	0.01676150832
333	0.01672795689
334	0.01668182451
335	0.01657075375
336	0.01651494687
337	0.01638452213
338	0.01636483042
339	0.01634037458
340	0.01630528328
341	0.01619288652
342	0.01603183814
343	0.01600039286
344	0.01584982392
345	0.01572769083
346	0.01570475624
347	0.01564368813
348	0.01551679385
349	0.01537161141
350	0.01534509572
351	0.01531690539
352	0.01529293419
353	0.01526600782
354	0.01515931726
355	0.01513912373
356	0.01505988865
357	0.01502797318
358	0.0149218205
359	0.01480504244
360	0.014784947
361	0.01472020059
362	0.01464894228
363	0.01462774523
364	0.01459665175
365	0.01450231082
366	0.01447532179
367	0.01441222144
368	0.01429824599
369	0.01421118925
370	0.01419108833
371	0.01408845757
372	0.01399260515
373	0.01389899677
374	0.0137956288
375	0.01377069002
376	0.01365265191
377	0.01363527922
378	0.01355395232
379	0.01352847617
380	0.01350682262
381	0.01349032994
382	0.01345652522
383	0.0133766932
384	0.01336066898
385	0.01326491871
386	0.01325073129
387	0.01322294531
388	0.01320764557
389	0.01313515749
390	0.01306629408
391	0.0129937502
392	0.01292841298
393	0.01286022549
394	0.01274214164
395	0.01271725892
396	0.01264654549
397	0.01255974007
398	0.01251354339
399	0.01239770758
400	0.01232292193
401	0.01230845839
402	0.0122228168
403	0.01220923417
404	0.01210155539
405	0.01201883665
406	0.01198062191
407	0.01193047703
408	0.01185152692
409	0.01183796516
410	0.01178171279
411	0.01176370744
412	0.01168031929
413	0.01161865015
414	0.01157127712
415	0.01155675009
416	0.01146525108
417	0.01145261524
418	0.01141134974
419	0.01139859973
420	0.01129588553
421	0.01127920412
422	0.0111855502
423	0.01108920574
424	0.01101383881
425	0.01097615157
426	0.01094645165
427	0.01086230498
428	0.01078385895
429	0.01069518518
430	0.01063300516
431	0.01060396938
432	0.0105650378
433	0.01051746812
434	0.01044019159
435	0.01036831792
436	0.01035671772
437	0.01029878639
438	0.01028618989
439	0.0102216413
440	0.01019879374
441	0.01011471125
442	0.01003507541
443	0.009939885442
444	0.009861343054
445	0.009847806434
446	0.009755153854
447	0.009679756461
448	0.009668534787
449	0.009589933218
